key,total,weighted,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
I,38.60061287027579,37.27753692572042,41.91113227276152,40.981701572108356,38.14755005763744,35.20416795693778,39.977094691905656,33.52700970983868,37.163518060442684,32.66482371080402,37.36355486962469,34.50878187876537,29.444775461679956
VIm,12.032686414708886,11.586748826096366,13.79555309392336,16.799920110624775,13.188785296201397,13.516591343422743,9.75837895628776,5.239293207230109,10.141187086326067,11.128942229211729,5.083813225439914,5.873847130859884,6.466869807058556
V,5.066394279877426,5.980589429981184,14.973588655358432,12.228303599098437,13.289935105735342,10.686734407365515,9.291928152950696,9.315902332766555,5.643402891170172,4.815696080784146,5.445040701132923,5.4875347526308165,6.501847409126194
IV,3.8304392236976508,2.314210454655214,2.469834895207995,1.5460973628435506,1.8527391118460663,2.0002048879948156,1.8203504651483855,5.426842720790806,1.166559760503706,0.9199708348605296,0.7120368772574404,0.9276840672487859,2.667638995461381
VIm7,3.2175689479060265,6.889426672052102,3.4092711677130527,4.409823174467677,8.815415857560712,8.08072625993384,10.572328664855302,14.028499356304474,13.142184272207713,11.613220807357235,7.787829960507225,4.92599463643899,3.3444189813448744
I(add9),2.972420837589377,3.2256395130279167,6.603246183343239,6.445996757414832,4.938170086651144,3.4219834470131376,1.5007516822173004,1.6804579125733465,1.417678450375279,1.3439672840506574,2.577882436552941,4.06669194635488,4.829903027663436
IVM7,2.7885597548518897,2.5049381013088814,3.9304754459669486,2.1822162868497936,2.2242738033851372,1.3048184455905072,1.7177309200815256,1.272677575283395,0.7013888934943868,3.136126555000382,5.204464313558432,4.222434660332868,2.043700404088396
IM7,2.7374872318692542,1.6611395799281512,0.0,1.0723908848876167,2.131391761188724,2.297174418846541,3.955304620977047,1.2694320012699123,1.2403644681127577,1.3218352843684311,2.310740622926546,1.0933066981773145,1.0755744225270516
VI,2.12461695607763,1.046189997065229,1.7041282895106624,1.8564308495572508,0.8991378617171062,1.5312165164078717,0.6378335403480797,1.6545495746036292,0.0,0.9990536973729994,1.346991785198817,1.9611007145465913,3.365416006033108
IV(add9),1.481103166496425,3.2683613225207786,0.0,0.9390890401859189,0.7652885915968043,4.223224157683997,2.796524252866282,3.926511409567808,4.812348852531798,5.735792218194058,4.188959987030477,0.7856632225261215,0.0
V7,1.1133810010214504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
III7,0.9805924412665985,0.8681272609177441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.304649499889154,3.7984842373810435,1.6388492871041702
III,0.8273748723186926,1.2093776524517768,0.0,0.0,0.7357531269417382,0.8701609190895752,0.0,0.0,0.0,0.0,1.986742865221882,2.7644293238827986,2.0885612818394907
VIm9,0.7967313585291114,1.9883279513789065,3.7327301810201603,3.1832045534336224,3.2504282673225675,3.4228240653269606,3.5964237454860575,3.9965783396012053,4.21568520682864,4.064933704809251,5.248972994287184,7.046185899672313,7.7532925556320755
IM7(add9),0.7048008171603677,0.8422832389583079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.160522842987085,1.7700766959855423,3.0389450059612186,1.03587520718671
IM9,0.6741573033707865,0.4969184100261071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.466009464657234,1.3152596487581252
II,0.6639427987742594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IIm7/5,0.5515832482124617,0.17689066185739938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.641485959679279,0.7622647515331517,0.0,0.0
IIIm7,0.5209397344228804,0.20706271409301968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2259305210707498
I7,0.5107252298263534,0.3091986278087654,0.0,0.0,0.0,0.8968566621281937,1.303129045052625,0.0,0.0,0.0,0.0,0.0,0.0
IIIm,0.5005107252298263,1.3219880475934027,0.0,1.2340454467491178,2.0484017016460743,0.0,0.0,2.9177864842696857,1.5704653320847275,0.0,0.0,0.0,0.0
IIm,0.49029622063329925,0.1340351389082345,0.0,0.0,0.618931075050586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vsus4,0.33707865168539325,0.1354124817919069,0.0,0.0,0.6252912006016049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I69,0.3166496424923391,0.5834346078403453,0.9602513683412625,1.3881066727434879,0.0,0.8135056556184956,0.8120247429047652,1.0255327274239205,0.0,0.0,1.3295063037625756,1.5915941733380394,1.3117543974474961
IV/5,0.3166496424923391,0.1442668289012295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8541427146978132
VI7,0.27579162410623087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I/3,0.26557711950970375,1.43730293105047,0.0,0.0,0.0,0.0,0.6601354123882224,3.0505162466540456,3.7584942728894366,3.8758047944275713,2.20926575754549,0.0,0.0
V/6,0.24514811031664963,1.014554200218656,0.0,0.0,0.0,0.0,0.0,0.9085312515733633,2.0693445877179664,1.1932681587418212,0.0,1.9007390188971849,2.0315521835941586
IVm,0.20429009193054137,0.5909043868369375,0.0,0.7404015633418406,0.0,1.4341284351794015,0.0,0.0,0.0,0.0,0.0,0.0,1.4430430452453598
I/5,0.20429009193054137,0.1722391963100886,0.0,0.0,0.6180873849264712,0.7500933063429326,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIsus4,0.1940755873340143,0.2563492489818249,0.0,0.9377537822485663,0.6493039195187172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9444958673076261
VIM7,0.15321756894790603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VII,0.15321756894790603,0.16444050637186958,0.0,0.0,0.0,0.0,0.0,0.0,0.7529052134902016,0.0,0.0,0.0,0.0
bVIIm,0.13278855975485188,0.22851543219345263,0.0,0.0,0.0,0.0,0.0,0.0,0.8839969614758166,0.7091167500170407,0.0,0.0,0.0
VIm11,0.12257405515832481,0.20440982996801227,0.0,0.0,0.9438987182281107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bII,0.11235955056179775,0.24261053496689558,1.124430720135368,0.6635167743921709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bVII7,0.11235955056179775,0.7402139848561018,0.0,0.0,0.0,0.0,0.0,0.0,1.3739791744965444,2.2961592824419483,1.4993853121910252,1.1306663096905953,2.979873944487939
V6,0.10214504596527069,0.3368456999451888,0.0,0.0,0.0,1.0689824432563093,1.37140837614362,0.0,0.0,0.0,0.0,0.0,0.0
V7sus4,0.09193054136874361,0.4337648959235754,0.9236543676763537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9702225343306331,0.0,2.194961009866424
VIm7(11),0.09193054136874361,0.22571009903880854,0.0,0.0,0.6449981906094419,1.0070945435691188,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#IV,0.07150153217568948,0.1556782953934168,0.0,0.0,0.0,0.0,0.6414128531446458,0.6024550555601698,0.0,0.0,0.0,0.0,0.0
bVI7,0.05107252298263534,0.13367295519166833,0.0,0.0,0.6172586273709249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIIm7,0.05107252298263534,0.14697521742878702,0.0,0.0,0.0,0.0,0.0,0.6475040377805215,0.0,0.0,0.0,0.0,0.0
bIII(add9),0.05107252298263534,0.7186105406392396,0.0,0.0,0.0,0.0,0.0,1.8450441782891618,2.813365718664681,1.1673032691819625,0.6653655525296418,0.0,0.0
V7(b9),0.04085801838610827,0.39541713952988194,0.0,0.0,0.0,0.0,0.0,0.0,0.6824976540805937,0.6825237820156638,0.9371324061968892,1.3927666217508516,0.9712592098573244
#V°,0.04085801838610827,0.2767555108013419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.638552015760177
bVII(add9),0.030643513789581203,0.44407797966546386,0.7553466999393408,0.0,0.0,0.0,0.643303810848492,0.0,0.0,0.7992892142536082,1.2264842853067457,1.7025639828561445,1.96775081091206
III7(#9),0.030643513789581203,0.5535438565102055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.290609357944597,1.2453802104855853,0.0,0.0
#Vm,0.030643513789581203,0.160336600831404,0.0,0.6166935044564639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7688575920977552,0.0
#IM7,0.020429009193054137,0.8849747898010788,2.898554173667382,2.774308064596482,2.994960254263893,2.1795377152604103,1.1496254753756783,0.7060715650073393,0.0,0.0,0.0,0.0,0.0
VIm7/5,0.020429009193054137,0.2073301431742414,0.8078024854348849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8686048037350841,0.8017198803260163
"VIm7(9,11)",0.020429009193054137,0.1911303493790182,0.0,0.0,0.0,0.0,0.0,0.0,0.7235901757066624,0.0,0.7742928449326927,0.0,0.0
V/3,0.020429009193054137,0.5720243163329519,0.0,0.0,0.0,1.8908738763803232,2.1714639958200532,0.6024550555601698,0.0,0.0,0.0,0.0,0.0
I(add9)/3,0.020429009193054137,0.2028067123611509,0.0,0.0,0.0,0.9768201158385751,0.0,0.0,0.0,0.0,0.0,0.0,0.0
