201201,君の知らない物語,千本桜,からくりピエロ,冷やし中華+はじめました,Just+Be+Friends,丸の内サディスティック,カゲロウデイズ,天ノ弱,ハロ／ハワユ,ふわふわ時間,メルト／初音ミク,Staple+stable,弱虫モンブラン,ピエロ（ＫＥＩ）,チェリー,Calc,モザイクロール,心拍数♯0822,ponponpon,花束,青いベンチ,天使にふれたよ！,二息歩行,Good-bye+days,メランコリック,やさしさに包まれたなら,1925,ゆるふわ樹海ガール,Dont+Say+lazy,トレモロ,Cagayake!GIRL,栄光の架橋,ドレミファロンド,葛飾ラプソディ,U＆I,ずっと好きだった,車輪の唄,コネクト,恋愛サーキュレーション,from+Y+to+Y,ハッピーシンセサイザ,マトリョシカ,Just+Be+Friends+【2】,Dear,一番の宝物,小さな恋の歌,ローリンガール,ガーネット,東京テディベア,深海少女,私の恋はホッチキス,"Hello,Worker",my+song,ブレス,ダブルラリアット,風になる,天体観測,楓,パンダヒーロー,幻の命,God+knows…,カブトムシ,夏色,"No,Thank+you!",残酷な天使のテーゼ,星間飛行,Butter-Fly,はじめてのチュウ,おちゃめ機能,oath+sign,アンパンマンのマーチ,君をのせて,歩いて帰ろう,リンネ,キリトリセン,me+me+she,卒業（高橋優）,トリノコシティ,secret+base+〜君がくれたもの〜+(10+years+after+Ver),どんなときも。〜槇原+cover,only+my+railgun,愛迷エレジー,Stand+by+Me,星が瞬くこんな夜に,夜空ノムコウ,初めての恋が終わる時,変わらないもの,さよならメモリーズ,となりのトトロ++簡単ver,Fire◎Flower,カルマ,群青日和,GO!GO!MANIAC,桜ノ雨,アンハッピーリフレイン,携帯電話,ふたりごと,君と羊と青,虹 二宮,勇気100%
201202,君の知らない物語,千本桜,からくりピエロ,天ノ弱,冷やし中華+はじめました,丸の内サディスティック,ハロ／ハワユ,弱虫モンブラン,Just+Be+Friends,チェリー,メルト／初音ミク,ピエロ（ＫＥＩ）,想像フォレスト,カゲロウデイズ,モザイクロール,ふわふわ時間,葛飾ラプソディ,心拍数♯0822,Calc,二息歩行,ナイショの話,ゆるふわ樹海ガール,やさしさに包まれたなら,1925,青いベンチ,トレモロ,栄光の架橋,Country+road,花束,Staple+stable,天使にふれたよ！,車輪の唄,メランコリック,Dont+Say+lazy,君の知らない物語（難コードVer）+,ガーネット,ponponpon,U＆I,東京テディベア,my+song,深海少女,ローリンガール,恋愛サーキュレーション,ずっと好きだった,God+knows…,一番の宝物,Cagayake!GIRL,楓,風になる,桜ノ雨,小さな恋の歌,私の恋はホッチキス,Butter-Fly,マトリョシカ,from+Y+to+Y,Dear,コネクト,天体観測,群青日和,ハッピーシンセサイザ,Just+Be+Friends+【2】,"Hello,Worker",なごり雪,残酷な天使のテーゼ,カブトムシ,パンダヒーロー,ふたりごと,トリノコシティ,歩いて帰ろう,Good-bye+days,はじめてのチュウ,星間飛行,夏色,ダブルラリアット,カルマ,me+me+she,幻の命,キリトリセン,アンパンマンのマーチ,さよならメモリーズ,夜空ノムコウ,リンネ,secret+base+〜君がくれたもの〜+(10+years+after+Ver),ブラック★ロックシューター,only+my+railgun,日常,Fire◎Flower,となりのトトロ++簡単ver,君をのせて,変わらないもの,初めての恋が終わる時,エンヴィキャットウォーク,おちゃめ機能,Stand+by+Me,"No,Thank+you!",oath+sign,ドレミファロンド,くせのうた,3月9日,ロマンスの神様
201203,君の知らない物語,千本桜,からくりピエロ,天ノ弱,想像フォレスト,3月9日,白金ディスコ,丸の内サディスティック,弱虫モンブラン,冷やし中華+はじめました,チェリー,メルト／初音ミク,ハロ／ハワユ,栄光の架橋,Just+Be+Friends,モザイクロール,ピエロ（ＫＥＩ）,Calc,旅立ちの日に,カゲロウデイズ,心拍数♯0822,Country+road,やさしさに包まれたなら,ふわふわ時間,春に一番近い街,二息歩行,ゆるふわ樹海ガール,花束,青いベンチ,1925,トレモロ,車輪の唄,葛飾ラプソディ,ナイショの話,Staple+stable,メランコリック,Dont+Say+lazy,ガーネット,アンパンマンのマーチ,東京テディベア,U＆I,一番の宝物,楓,Butter-Fly,ブラック★ロックシューター,桜ノ雨,マトリョシカ,my+song,深海少女,ずっと好きだった,風になる,恋愛サーキュレーション,なごり雪,君の知らない物語（難コードVer）+,小さな恋の歌,コネクト,ハッピーシンセサイザ,Dear,トリノコシティ,夏色,God+knows…,天体観測,from+Y+to+Y,パンダヒーロー,はじめてのチュウ,ローリンガール,Cagayake!GIRL,"Hello,Worker",ワールドイズマイン,天使にふれたよ！,キリトリセン,Just+Be+Friends+【2】,愛言葉,カブトムシ,残酷な天使のテーゼ,Good-bye+days,Tell+Your+World,ふたりごと,夜空ノムコウ,ゴーゴー幽霊船,さよならメモリーズ,幻の命,星間飛行,only+my+railgun,ダブルラリアット,歩いて帰ろう,secret+base+〜君がくれたもの〜+(10+years+after+Ver),me+me+she,ponponpon,群青日和,私の恋はホッチキス,となりのトトロ++簡単ver,RAINBOW+GIRL,変わらないもの,カルマ,Stand+by+Me,炉心融解,おジャ魔女カーニバル!!+おジャ魔女どれみ,vivi,リンネ
201204,千本桜,君の知らない物語,天ノ弱,からくりピエロ,チェリー,想像フォレスト,弱虫モンブラン,太陽曰く燃えよカオス,ハロ／ハワユ,丸の内サディスティック,メルト／初音ミク,車輪の唄,ピエロ（ＫＥＩ）,モザイクロール,冷やし中華+はじめました,Country+road,やさしさに包まれたなら,花束,Just+Be+Friends,心拍数♯0822,Calc,カゲロウデイズ,楓,ゆるふわ樹海ガール,ふわふわ時間,二息歩行,白金ディスコ,祈り～涙の軌道,トレモロ,東京テディベア,1925,ガーネット,春に一番近い街,Dont+Say+lazy,栄光の架橋,青いベンチ,メランコリック,葛飾ラプソディ,深海少女,Tell+Your+World,マトリョシカ,風になる,Staple+stable,Butter-Fly,一番の宝物,コネクト,夏色,天体観測,vivi,God+knows…,my+song,from+Y+to+Y,カブトムシ,ずっと好きだった,アンパンマンのマーチ,小さな恋の歌,U＆I,パンダヒーロー,愛言葉,ローリンガール,残酷な天使のテーゼ,幻の命,3月9日,Dear,"rain+stops,+good-bye",はじめてのチュウ,キリトリセン,なごり雪,ハッピーシンセサイザ,"Hello,Worker",Good-bye+days,Just+Be+Friends+【2】,コノハの世界事情,星間飛行,me+me+she,ナイショの話,桜ノ雨,ロビンソン,恋愛サーキュレーション,空も飛べるはず,Cagayake!GIRL,君の知らない物語（難コードVer）+,トリノコシティ,歩いて帰ろう,ふたりごと,ponponpon,secret+base+〜君がくれたもの〜+(10+years+after+Ver),変わらないもの,夜空ノムコウ,となりのトトロ++簡単ver,さよならメモリーズ,私の恋はホッチキス,Stand+by+Me,only+my+railgun,天使にふれたよ！,群青日和,ブラック★ロックシューター,Funny+Bunny,ゴーゴー幽霊船,旅立ちの日に
201205,太陽曰く燃えよカオス,千本桜,君の知らない物語,天ノ弱,チェリー,からくりピエロ,想像フォレスト,弱虫モンブラン,丸の内サディスティック,メルト／初音ミク,車輪の唄,ハロ／ハワユ,Country+road,モザイクロール,ふわふわ時間,花束,楓,ピエロ（ＫＥＩ）,やさしさに包まれたなら,Calc,Just+Be+Friends,栄光の架橋,心拍数♯0822,トレモロ,ゆるふわ樹海ガール,東京テディベア,二息歩行,ガーネット,冷やし中華+はじめました,空も飛べるはず,恋のオーケストラ,カゲロウデイズ,カブトムシ,ロビンソン,夏色,Dont+Say+lazy,Butter-Fly,メランコリック,深海少女,1925,天体観測,God+knows…,vivi,青いベンチ,一番の宝物,Dear,コネクト,風になる,小さな恋の歌,葛飾ラプソディ,Staple+stable,my+song,六兆年と一夜物語,from+Y+to+Y,マトリョシカ,ローリンガール,ずっと好きだった,幻の命,星間飛行,ハッピーシンセサイザ,アンパンマンのマーチ,パンダヒーロー,U＆I,歌うたいのバラッド,Good-bye+days,キリトリセン,"rain+stops,+good-bye",me+me+she,ウィーアー！,残酷な天使のテーゼ,"Hello,Worker",春に一番近い街,歩いて帰ろう,トリノコシティ,secret+base+〜君がくれたもの〜+(10+years+after+Ver),ふたりごと,変わらないもの,Tell+Your+World,Funny+Bunny,となりのトトロ++簡単ver,Cagayake!GIRL,はじめてのチュウ,若者のすべて,Just+Be+Friends+【2】,Stand+by+Me,なごり雪,愛迷エレジー,恋愛サーキュレーション,群青日和,ponponpon,愛言葉,天使にふれたよ！,HANABI,ゴーゴー幽霊船,徒然モノクローム,祈り～涙の軌道,Change+the+World,星が瞬くこんな夜に,白金ディスコ,私の恋はホッチキス
201206,君の知らない物語,千本桜,からくりピエロ,太陽曰く燃えよカオス,チェリー,丸の内サディスティック,Country+road,天ノ弱,弱虫モンブラン,想像フォレスト,如月アテンション,メルト／初音ミク,夏祭り,ハロ／ハワユ,花束,空も飛べるはず,モザイクロール,幻の命,楓,夏色,Just+Be+Friends,ふわふわ時間,ピエロ（ＫＥＩ）,トレモロ,栄光の架橋,カゲロウデイズ,心拍数♯0822,アイロニ,ゆるふわ樹海ガール,車輪の唄,ロビンソン,やさしさに包まれたなら,ハナミズキ,カブトムシ,Calc,小さな恋の歌,二息歩行,ガーネット,冷やし中華+はじめました,Butter-Fly,メランコリック,東京テディベア,恋のオーケストラ,Dont+Say+lazy,glow,Staple+stable,葛飾ラプソディ,一番の宝物,青いベンチ,風になる,my+song,残酷な天使のテーゼ,深海少女,天体観測,God+knows…,コネクト,me+me+she,Fire◎Flower,1925,vivi,ふたりごと,パンダヒーロー,"rain+stops,+good-bye",ライオン,Good-bye+days,secret+base+〜君がくれたもの〜+(10+years+after+Ver),Cagayake!GIRL,from+Y+to+Y,リライト,アンパンマンのマーチ,HANABI,Stand+by+Me,歌うたいのバラッド,Just+Be+Friends+【2】,ずっと好きだった,Dear,群青日和,ローリンガール,U＆I,徒然モノクローム,星間飛行,マトリョシカ,はじめてのチュウ,恋愛サーキュレーション,"Hello,Worker",ウィーアー！,となりのトトロ++簡単ver,Funny+Bunny,若者のすべて,練習用,くせのうた,星が瞬くこんな夜に,君の知らない物語（難コードVer）+,トリノコシティ,ルージュの伝言,alice(古川P),もしも,閃光少女,ダブルラリアット,優しさの理由
201207,君の知らない物語,千本桜,Country+road,からくりピエロ,夏祭り,夏色,天ノ弱,弱虫モンブラン,チェリー,丸の内サディスティック,幻の命,ガーネット,ハロ／ハワユ,Just+Be+Friends,メルト／初音ミク,想像フォレスト,楓,ふわふわ時間,ピエロ（ＫＥＩ）,空も飛べるはず,花束,モザイクロール,カゲロウデイズ,栄光の架橋,となりのトトロ++簡単ver,トレモロ,車輪の唄,お後がよろしくって・・・よ！,カブトムシ,ポケモンセンター,ゆるふわ樹海ガール,心拍数♯0822,my+song,変わらないもの,二息歩行,いつも何度でも,アイロニ,Calc,Butter-Fly,やさしさに包まれたなら,glow,如月アテンション,風になる,地球最後の告白を,メランコリック,Fire◎Flower,冷やし中華+はじめました,有心論,Dont+Say+lazy,God+knows…,ロビンソン,青いベンチ,小さな恋の歌,葛飾ラプソディ,太陽曰く燃えよカオス,一番の宝物,Staple+stable,天体観測,東京テディベア,ローリンガール,me+me+she,secret+base+〜君がくれたもの〜+(10+years+after+Ver),くせのうた,コネクト,Cagayake!GIRL,いいんですか,ふたりごと,U＆I,パンダヒーロー,深海少女,Good-bye+days,君の知らない物語（難コードVer）+,1925,アンパンマンのマーチ,もしも,Just+Be+Friends+【2】,ずっと好きだった,"rain+stops,+good-bye",Dear,群青日和,恋愛サーキュレーション,from+Y+to+Y,HANABI,残酷な天使のテーゼ,はじめてのチュウ,マトリョシカ,歌うたいのバラッド,Stand+by+Me,vivi,星間飛行,ルージュの伝言,"Hello,Worker",練習用,天使にふれたよ！,ハナミズキ,恋のオーケストラ,奏(かなで),日常,RAINBOW+GIRL,wherever+you+are
201208,お後がよろしくって・・・よ！,千本桜,君の知らない物語,からくりピエロ,Country+road,夏色,丸の内サディスティック,夏祭り,天ノ弱,チェリー,ハロ／ハワユ,弱虫モンブラン,カゲロウデイズ,ガーネット,ふわふわ時間,となりのトトロ++簡単ver,メルト／初音ミク,あたりまえ体操,Just+Be+Friends,モザイクロール,楓,想像フォレスト,幻の命,ピエロ（ＫＥＩ）,栄光の架橋,トレモロ,glow,Calc,花束,アイロニ,ゆるふわ樹海ガール,車輪の唄,変わらないもの,my+song,心拍数♯0822,カブトムシ,空も飛べるはず,Butter-Fly,Fire◎Flower,二息歩行,葛飾ラプソディ,如月アテンション,ロビンソン,メランコリック,God+knows…,やさしさに包まれたなら,Dont+Say+lazy,Good-bye+days,奏(かなで),青いベンチ,風になる,Dear,secret+base+〜君がくれたもの〜+(10+years+after+Ver),小夜子,一番の宝物,深海少女,ふたりごと,Staple+stable,U＆I,1925,小さな恋の歌,ローリンガール,me+me+she,天体観測,from+Y+to+Y,リアルワールド,若者のすべて,いいんですか,コネクト,パンダヒーロー,冷やし中華+はじめました,Cagayake!GIRL,Just+Be+Friends+【2】,天使にふれたよ！,東京テディベア,アンパンマンのマーチ,カントリーロード（英語ver）,ずっと好きだった,歌うたいのバラッド,はじめてのチュウ,"rain+stops,+good-bye",残酷な天使のテーゼ,くせのうた,Stand+by+Me,恋愛サーキュレーション,星間飛行,マトリョシカ,wherever+you+are,群青日和,"Hello,Worker",vivi,太陽曰く燃えよカオス,HANABI,君の知らない物語（難コードVer）+,白金ディスコ,チルドレンレコード,いつも何度でも,創聖のアクエリオン,愛をこめて花束を,めざせポケモンマスター
201209,千本桜,君の知らない物語,Country+road,お後がよろしくって・・・よ！,からくりピエロ,天ノ弱,チェリー,丸の内サディスティック,ハロ／ハワユ,弱虫モンブラン,メルト／初音ミク,ガーネット,Just+Be+Friends,夏色,楓,ピエロ（ＫＥＩ）,ふわふわ時間,モザイクロール,アイロニ,想像フォレスト,カゲロウデイズ,トレモロ,となりのトトロ++簡単ver,あたりまえ体操,栄光の架橋,花束,ｼｬﾊﾞﾄﾞｩﾋﾞﾀｯﾁﾍﾝｼｰﾝ,車輪の唄,幻の命,二息歩行,Calc,やさしさに包まれたなら,心拍数♯0822,空も飛べるはず,夏祭り,カブトムシ,wherever+you+are,葛飾ラプソディ,glow,Butter-Fly,my+song,ゆるふわ樹海ガール,メランコリック,奏(かなで),青いベンチ,変わらないもの,いーあるふぁんくらぶ,Dear,ロビンソン,一番の宝物,天体観測,Good-bye+days,カントリーロード（英語ver）,深海少女,ふたりごと,Dont+Say+lazy,東京テディベア,風になる,1925,小さな恋の歌,from+Y+to+Y,チルドレンレコード,me+me+she,ウィーアー！,Staple+stable,U＆I,いいんですか,Just+Be+Friends+【2】,如月アテンション,どんなときも。,若者のすべて,はじめてのチュウ,God+knows…,アンパンマンのマーチ,ずっと好きだった,パンダヒーロー,crossing+field,リアルワールド,残酷な天使のテーゼ,Stand+by+Me,リンネ,Fire◎Flower,歌うたいのバラッド,コネクト,secret+base+〜君がくれたもの〜+(10+years+after+Ver),Cagayake!GIRL,vivi,冷やし中華+はじめました,くせのうた,ローリンガール,マトリョシカ,歌に形はないけれど,小夜子,星間飛行,"rain+stops,+good-bye",恋愛サーキュレーション,愛をこめて花束を,天使にふれたよ！,群青日和,涙そうそう
201210,君の知らない物語,千本桜,Country+road,チェリー,からくりピエロ,丸の内サディスティック,天ノ弱,ハロ／ハワユ,楓,弱虫モンブラン,ピエロ（ＫＥＩ）,栄光の架橋,Just+Be+Friends,メルト／初音ミク,ガーネット,あたりまえ体操,花束,トレモロ,夏色,ふわふわ時間,想像フォレスト,となりのトトロ++簡単ver,カゲロウデイズ,モザイクロール,アイロニ,残酷な天使のテーゼ,コネクト,空も飛べるはず,心拍数♯0822,葛飾ラプソディ,車輪の唄,カブトムシ,やさしさに包まれたなら,サリシノハラ,幻の命,Calc,wherever+you+are,ゆるふわ樹海ガール,いーあるふぁんくらぶ,glow,二息歩行,冷やし中華+はじめました,Butter-Fly,おなじ話,ロビンソン,変わらないもの,青いベンチ,my+song,奏(かなで),メランコリック,小さな恋の歌,ふたりごと,Dear,me+me+she,歌うたいのバラッド,どんなときも。,東京テディベア,深海少女,一番の宝物,夏祭り,天体観測,如月アテンション,チルドレンレコード,いいんですか,Stand+by+Me,風になる,U＆I,1925,God+knows…,Dont+Say+lazy,Good-bye+days,三人のおじさん,カントリーロード（英語ver）,パンダヒーロー,お後がよろしくって・・・よ！,from+Y+to+Y,Staple+stable,HANABI,crossing+field,Just+Be+Friends+【2】,アンパンマンのマーチ,"rain+stops,+good-bye",星間飛行,天使にふれたよ！,vivi,ずっと好きだった,ルージュの伝言,はじめてのチュウ,ウィーアー！,愛言葉,若者のすべて,小夜子,君の知らない物語（難コードVer）+,ローリンガール,リンネ,Cagayake!GIRL,愛をこめて花束を,くせのうた,にんげんっていいな,六兆年と一夜物語
